,BUS_ID,BUS_NAME,VBASEKV,TP,S,GSHT_MW,BSHMVAR,ARE,ZON,MODV_PU,ANGV_DEG,VMXN_PU,VMNN_PU,VMXE_PU,VMNE_PU,OWN_x,SUB,ARG,ID_x,ST_x,PL_MW,QL_MVAR,IPL_MW,IQL_MVAR,ZPL_MW,ZQL_MVAR,OWN_y,R0_x,X0_x,Name,ID_y,PG_MW,QG_MVAR,QMX_MVAR,QMN_MVAR,VSPECPU,BCO_ID,BASE_MVA,RTRF_PU,XTRF_PU,TAP_PU,ST_y,FP%,PMAX_MW,PMIN_MW,GRP,BLOCKED,OWNER,CONECTION,R1,X1,R2,X2,R0_y,X0_y,RGRD,XGRD,XQ,SF,MAXANG,TYPE,NAME,NMAX,NON
52,53,53,138.0000,0,0,0.000,0.000,2,1,0.986336,-18.9373,1.10000,0.90000,1.10000,0.90000,1,39,0,27,1,252.700,118.560,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,54,138.0000,0,0,0.000,0.000,1,1,0.985714,-11.5370,1.10000,0.90000,1.10000,0.90000,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,55,138.0000,0,0,0.000,0.000,1,1,0.957119,-13.2179,1.10000,0.90000,1.10000,0.90000,1,40,0,28,1,322.000,2.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,56,138.0000,0,0,0.000,0.000,1,1,0.920845,-11.9593,1.10000,0.90000,1.10000,0.90000,1,41,0,29,1,200.000,73.600,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,57,138.0000,0,0,0.000,0.000,1,1,0.910195,-11.2129,1.10000,0.90000,1.10000,0.90000,1,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,58,138.0000,0,0,0.000,0.000,1,1,0.909033,-10.4023,1.10000,0.90000,1.10000,0.90000,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,59,138.0000,0,0,0.000,0.000,1,1,0.903747,-13.3110,1.10000,0.90000,1.10000,0.90000,1,43,0,30,1,234.000,84.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,60,138.0000,0,0,0.000,0.000,1,1,0.906175,-14.0368,1.10000,0.90000,1.10000,0.90000,1,44,0,31,1,208.800,70.800,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,61,138.0000,0,0,0.000,0.000,2,1,0.955650,-23.2222,1.10000,0.90000,1.10000,0.90000,1,45,0,32,1,104.000,125.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,62,138.0000,0,0,0.000,0.000,1,1,0.912148,-7.3117,1.10000,0.90000,1.10000,0.90000,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,63,138.0000,0,0,0.000,0.000,1,1,0.909647,-8.3700,1.10000,0.90000,1.10000,0.90000,1,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,64,138.0000,0,0,0.000,0.000,1,1,0.836660,-8.3770,1.10000,0.90000,1.10000,0.90000,1,46,0,33,1,9.000,88.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,65,138.0000,0,0,0.000,0.000,1,1,0.912759,-8.1847,1.10000,0.90000,1.10000,0.90000,1,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,66,138.0000,0,0,0.000,0.000,1,1,0.919396,-10.1909,1.10000,0.90000,1.10000,0.90000,1,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,67,138.0000,0,0,0.000,0.000,1,1,0.928035,-11.4299,1.10000,0.90000,1.10000,0.90000,1,48,0,34,1,320.000,153.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,68,138.0000,0,0,0.000,0.000,1,1,0.948289,-10.0712,1.10000,0.90000,1.10000,0.90000,1,49,0,35,1,329.000,32.000,0.000,0.000,0.000,0.000,1,0.1000E+08,0.1000E+08,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
